"","Social.well.being","Psychological.well.being","CompInt.ICT","SchoolUse.ICT","Teacher.skills","ESCS","ENTUSE","ICTRES","HEDRES","CULTPOSS","STUBEHA","ATTLNACT","JOYREAD","LM_MINS","PROAT5AB","PROAT5AM","PROAT6","TEACHBEHA","STRATIO","CLSIZE","STAFFSHORT","EDUSHORT","RATCMP1","ICTSCH","CREACTIV","SCHSIZE","PV1MATH","PV1READ","CNT","SCHLTYPE"
"2819",-1.49177775121584,-0.906365414863718,-1.52401510405085,0.609411047530218,0.284748039157256,-0.9832479216832,-0.00117501769587203,-0.857941810988173,0.0272390820332147,-0.134464688376219,-0.0435979024585584,-1.10677582482908,-0.399925308243441,-0.311528798819482,-1.10287149285006,0.996837528899515,-0.0436464638977955,-0.0884700412666282,0.462712644387344,-0.196598227830097,-0.528180183161736,0.308289945434303,0.0663965519042983,0.517157470128513,0.0363472011186632,-0.213907869409755,-0.840216154860549,-1.26965261722542,"SVK","1"
"3779",0.724553562268776,0.442586688049159,0.545437978848958,-0.22436305426914,-0.245690878862201,0.222124017436153,0.0108678692123787,0.503521782330721,-0.379959050454451,-0.543419913424046,-0.808800127104342,0.354607348147156,0.215940653021691,-0.402691330023614,0.746567015865133,-0.262176007024841,0.0857923413468606,-0.958367779878181,0.217455894691298,0.607400297037605,-0.111126467415229,-1.61260243018436,-0.0549805948382561,0.131258480423768,-0.410409460232612,0.629974677263035,0.384830454467305,0.372290514157117,"ESP","0"
"3568",0.911323460112226,-0.509279875184697,0.468268855019714,-1.05531269378242,-0.00996212147258919,0.647644425973265,-0.62283418640111,0.48610279938156,0.108151616689879,0.760987208983974,-0.931142584105357,-0.169494379574854,0.211838949857527,-0.0131852014919935,0.746567015865133,-0.262176007024841,0.0860238235753371,-0.311801122965832,0.0369425352130355,0.549128312131176,-0.749675560529916,-1.61260243018436,-0.22899779496797,-0.0796806459642999,-0.552680548209605,2.26535052837681,0.798794964931349,0.434103111372472,"ESP","1"
"571",0.0382800446075938,0.181654388514273,0.0296496971685481,1.94660172070717,0.713151656283341,-0.248775087797439,-0.899851621276321,1.34185418615282,0.0489879458339594,-1.09441081026818,-0.0311336798452286,0.431802410377567,-0.00948072457177905,1.66849397564737,0.878685507981736,-1.23120602111517,-0.395605229711202,-0.0723628075890433,0.491391514902526,-0.328983816085985,-0.581453426992547,-0.530109148305944,0.151983384495715,1.9830277343523,-0.365730844994648,0.0781463166796356,-0.136909198418452,-0.223768919242858,"DNK","1"
"2152",-1.19537701921639,-0.335753288765321,-0.625381063808417,0.982724262064903,-0.364074819914943,0.352273411562706,0.626565147311483,-0.4532609495272,0.170423187011327,0.052740363376318,-0.00129983146865153,-1.34405990318424,-0.290599659101382,-0.219223348833097,-0.427038561554124,0.436851826263287,-0.456925839946822,-0.206311406134115,-0.00552899142674554,0.549128312131176,0.529954875903484,-0.0194347919923651,-0.28865260226055,1.13936919383165,1.39273855568587,-0.171235620871983,-0.0720142314851151,-0.461183699103019,"LTU","1"
"1567",0.101809225135049,2.6981643993846,-0.0703682388251346,-0.57407064953014,-0.89156986415531,-1.3864509542705,0.60551747235518,-2.84300041937725,-4.0174794510039,0.836962285800939,1.53003495177992,-1.03108472485147,-0.450181153421856,-0.438375447671667,1.0323564816412,-1.04988501998103,-0.456925839946822,0.763486562608752,-0.57794958244035,-0.777023415305827,-1.0697941904886,-0.0194347919923651,-0.643585680584305,-1.00613460688756,-0.552680548209605,-0.996833568032189,-1.21662490071731,-0.990410833343204,"GRC","1"
"2302",-0.440514450639402,0.0157983683273681,-0.57020209512572,-0.182187447202302,0.798165346844791,0.0425021250567011,-0.813771632373163,-0.350035705447207,-0.240146474988967,-0.622824602183634,-1.39917011617067,0.209170428957941,0.0985620108085835,-0.0123437870410973,0.603555898404774,-0.67909890627322,-0.456925839946822,-0.675813469311175,0.266897066917427,0.549128312131176,0.188206608785428,-0.373006573910337,-0.667291302696204,1.02548004735354,1.39273855568587,0.0673300197035309,-0.0287452625960348,-0.0408052619020957,"LTU","1"
"538",0.461123677818416,0.121339112294068,0.544866312980524,1.91125164756109,-0.459541550992086,1.1234698236154,-0.0275797561183603,2.20037208391544,1.63668768122338,-0.0752786320126832,-0.0311336798452286,-0.638739273702539,-1.07648390466475,1.33714613361818,0.878685507981736,-1.23120602111517,-0.395605229711202,-0.0723628075890433,0.491391514902526,-0.328983816085985,-1.4590221489321,-1.61260243018436,0.151983384495715,0.979414728240573,-0.365730844994648,0.0781463166796356,0.69610256641189,0.896985344954903,"DNK","1"
"312",-1.2521198959986,0.409628882655927,-1.25156514885971,-0.0291677728962162,-1.69898395454947,-0.907313155651298,-0.168715017519842,-0.557404381027152,-0.507882502976532,-0.718299902465062,0.686663567195531,-0.853044444183429,-1.42293897809852,-1.12514143787454,-1.01923344668571,0.195135204039928,-0.150259826290788,-0.390658327461336,-0.929170641870194,0.549128312131176,0.0900819133795022,0.153371321800483,-0.713400040210556,-2.63248571477857,0.420029003738133,0.536419762408193,-0.62837986853598,-0.693091065307359,"CZE","1"
"2668",-0.738351189285534,-0.573945506223784,-1.03737361753837,0.219230214926302,-0.132597993624894,-1.86384222025724,-0.339607382681773,-1.11161385303262,-2.04076058501397,-1.11414047640541,1.65508277023796,-0.704377087812939,0.139638589199496,-0.246134511678328,-1.16046920160305,1.23102692794194,-0.456925839946822,1.14175146438402,-1.58831570057996,-1.44009927902432,-0.403495855554818,1.46638359369196,0.0663965519042983,0.190368746930378,0.420029003738133,-1.32653664433318,-2.42195746377483,-2.60897348538032,"SVK","1"
"534",-0.0583736035824593,0.155837743203021,0.870910153979134,2.12986312482917,0.71771448575828,1.37182673299565,0.588013097733984,2.10984207551438,1.5995310393437,1.07989878420103,0.773635928110257,-0.813043668840455,-0.331539725761475,2.68887037567267,0.735312743596116,-0.821768165250065,-0.456925839946822,1.7963286816475,0.121863863926542,-0.113947551587326,-0.749675560529916,-1.61260243018436,-0.221834008066023,1.73558689833675,-1.52539010015734,0.37022796784997,0.349974106423283,0.114829962648921,"DNK","1"
"2872",-0.474975527290686,-1.5723944394809,-0.832857353223353,-1.26725537706847,0.784651965288622,0.36526483326433,-1.51867279046756,-0.129864633758976,0.198985128441264,0.070849017524996,-0.751486543644406,0.857532557202145,0.71108995389466,0.554334288426263,-1.02634262898021,1.0616713327536,-0.456925839946822,0.6866059898882,0.291945491580173,-0.777023415305827,0.354068997148992,-0.0194347919923651,0.212291478191988,-0.802704151231703,0.420029003738133,0.343422839695417,0.625485165914912,0.338297824455286,"SVK","1"
"720",0.10412138318281,0.247086326637557,0.617966810043088,1.56936416331973,-0.550066521465408,0.77454733295344,0.536981286254697,1.96180779439221,1.56399894048116,-0.302393920843386,-0.0311336798452286,0.0916575957937146,-1.35404197368367,1.75233257923122,0.878685507981736,-1.23120602111517,-0.395605229711202,-0.0723628075890433,0.491391514902526,-0.328983816085985,-0.581453426992547,-0.530109148305944,0.151983384495715,0.312017852668667,-0.365730844994648,0.0781463166796356,-0.132354150195548,0.566209639310648,"DNK","1"
"1112",-0.120308926479559,-0.67289740174523,-0.918039751250058,-0.630166027799687,-0.439400335026467,0.30090233686497,-0.925343644678265,0.299930592774754,-0.955306788043758,-0.120156621735794,0.217032857970506,0.668440868110893,-0.507436607303391,-1.12671402878606,-1.16046920160305,1.23102692794194,-0.456925839946822,0.373465903435076,0.484837913592765,-0.113947551587326,1.44779006443697,0.702056915837287,-1.09021523125298,0.170091110400807,0.420029003738133,-0.163194082425617,0.446238270335305,0.873363948452999,"FIN","1"
"3486",1.31176099174126,0.352846916507174,-0.199278430426092,-1.0352416629629,0.714947421419093,-0.524780632003815,-1.13182030357248,-0.859592118725489,-0.923297879349129,-0.0281954027346536,-0.583954530453828,0.966935748204118,0.121791269020776,0.287468605605109,0.746567015865133,-0.262176007024841,1.56237769259701,-0.393987391503363,-0.851309797124938,-0.113947551587326,0.959487816761034,-1.61260243018436,-0.794155456196145,-0.0277457310628851,0.420029003738133,-0.618881261053003,0.535959173875418,0.5883530763086,"ESP","1"
