"","Approach.to.ICT","Use.of.ICT","Teachers..degree","Teacher.skill","ESCS","RATCMP1","ICTSCH","ICTRES","ENTUSE","LM_MINS","HEDRES","STUBEHA","ATTLNACT","JOYREAD","PROAT6","TEACHBEHA","STRATIO","CLSIZE","EDUSHORT","STAFFSHORT","PV1MATH","PV1READ","CREACTIV","CNT","Social.well.being","Psychological.well.being","IM_PUBLIC","NEW_VAR"
"1695",-1.23872882269694,0.981686408849679,-1.15225410867612,0.651969768467757,-0.917437304738736,-0.666109474104728,-0.490987950509269,-0.0658894066569797,-0.831541999424069,-0.337333354774324,-0.472758338049159,-2.28609843421416,-0.181242238469212,-1.13850547049925,-0.666732731609091,-2.18198754105574,-1.94539743380182,-1.84895829951548,1.20690193464925,0.444647039154368,-1.44076049452828,-1.74556710438213,0.444092936727691,"GRC",-1.91369518167769,-0.388082901891407,"1","GRC-1"
"1696",-0.00766701851013806,1.76634314845839,-1.20123330342651,0.109466211163636,-1.62143711899184,-1.13980773207104,0.945396829789693,-1.34048734831222,0.948136731995623,-0.12779300999202,-1.5317712931076,-0.366953164956987,-0.280564690365876,-0.755575346569655,0.111003460435411,0.34950317021304,-0.990250168140314,-0.166987077113746,1.20690193464925,1.21936650978381,-1.8517742210551,-2.12487989877665,-0.530468576680621,"GRC",-1.85304969667492,0.935207375156364,"1","GRC-1"
"1697",0.153806832282221,-0.121713550935669,0.0932758072656149,0.447893502345469,0.747897401362023,-1.18197252590195,0.681242375749337,-0.267234030908485,0.775731375762928,-0.543013618722897,-0.299126023500457,0.679521867867853,-1.62645320314424,-0.302555025028285,-0.666732731609091,0.00251868815688331,-0.00586459106612748,-0.166987077113746,2.5130083289591,-0.0443671343851702,-0.0334495748807723,0.027305394671788,-0.530468576680621,"GRC",-0.210866257268815,-0.642764241431678,"1","GRC-1"
"1698",0.2376360559179,-1.56200283682887,-1.21017613392869,1.0154231795522,-0.815022420290238,-1.39703314898205,0.433090435100166,-0.947068685227043,1.75806766335189,-0.628686810119235,-0.719477971762698,1.33275388075566,-0.917827871560408,1.10685644742216,0.826293680855902,1.36221109708929,0.239126275009701,-0.166987077113746,0.725495209572717,0.109911580303258,-0.872474125818549,-0.100148722500453,0.444092936727691,"GRC",0.360092346858639,-0.597129960822727,"1","GRC-1"
"1699",-0.484261960355255,0.251611006713696,-0.948907901257379,-1.94054472117807,-0.374346521951786,-1.11539653564262,0.424404633827353,-1.12530305422383,0.481046215176569,-1.10594636087361,-0.160115796018675,-1.04703486984949,-1.63638160079983,0.227559945658936,-0.666732731609091,-0.470510028211179,-0.613032311645932,-0.166987077113746,1.71909629912022,-0.342732298188034,-0.86498185423916,-0.32836538960435,1.418654450136,"GRC",0.574901388230365,-0.386959733045835,"1","GRC-1"
"1700",0.347733346517989,-0.0266930653359072,-1.23081343508756,0.237246622781211,-1.14045223549927,-0.736316882014556,0.688473293225207,-0.977186483093351,0.634910950868744,-0.78165801675692,-0.505758321013906,0.26926299373855,0.0483904072130432,-0.121273793488876,1.35992289291563,0.34950317021304,-0.463029591602354,-1.00797268831461,0.725495209572717,-1.28031344398927,-0.872408608711037,-0.672243910008414,0.444092936727691,"GRC",0.0550104393794849,-0.632305098080347,"1","GRC-1"
"1702",-0.90664205182867,2.89519524077617,-0.929784002183491,-1.20646198760704,-1.16597761152828,-0.490792699755184,1.00533388980727,-0.89453917932352,2.5502302354063,-0.405693848434855,-1.74059740481957,-1.04703486984949,-0.668064581902537,-0.754752746086062,-0.666732731609091,-0.0203679974356238,-0.95292404521248,-0.166987077113746,0.725495209572717,-0.342732298188034,-2.81929374729679,-2.44405221090911,0.444092936727691,"GRC",-2.05562850767996,-1.02047026281274,"1","GRC-1"
"1704",0.199043627861022,-0.250694010432404,-1.32918457061151,0.1191109722339,-1.2571034680465,-1.34155315709929,0.28942525197732,-0.815278061222219,0.197495667846766,-0.53780997594193,-1.56427780942813,1.11077432833827,-0.631230548303498,0.977977259189646,-0.666732731609091,0.768050410634061,0.82534714562221,-0.166987077113746,3.04953138749699,2.18548599919222,-0.478534877699013,-0.386864927267306,-1.50503009008893,"GRC",0.449398252888372,0.292685771441739,"1","GRC-1"
"1705",-0.312304892071893,0.963485777113519,-1.35298625794808,0.188468573007928,-1.39396101078014,0.290769076804229,0.268292218963955,-0.390184416817913,0.747575341058911,-0.672970212138725,-1.5708361182906,-1.04703486984949,-0.59152522779848,-0.432726124275041,0.0996496474128635,-0.777973111731981,0.0963676739131458,-0.166987077113746,-1.66625224520154,-0.891076186068811,-2.75247191236293,-2.41633786686153,0.444092936727691,"GRC",-1.31409151465665,-1.22008293972716,"1","GRC-1"
"1706",-0.116943761020578,-0.934298033337051,-1.25901774667135,0.193298880307365,-0.149465653512797,-1.26509164101358,-0.180913062021297,-0.522750755886718,0.866203923824218,-0.849100433135002,-0.0763478906184758,-0.274028922257622,-0.412085682510464,0.829084926147748,0.491356196690751,-2.18198754105574,-0.403651090514506,-0.166987077113746,0.366162551185982,-0.23372870004934,-0.428502206573199,0.0679487569590501,1.418654450136,"GRC",1.16724184472599,0.522070159077527,"1","GRC-1"
